latitude,longitude,storeNumber,addressLocality,addressRegion,streetAddress,postalCode
33.9915091,-88.4910625,362502,Amory,MS,700 Main St N,38821
34.3103907,-89.9380348,311702,Batesville,MS,200 Robin Ln,38606
34.310568,-89.938883,840456,Batesville,MS,460 Highway 6 E,38606-3000
30.304083,-89.285042,770706,Bay St Louis,MS,501 Highway 90,39520
30.304083,-89.285042,840452,Bay St Louis,MS,501 Highway 90,39520
30.304083,-89.285042,307738,Bay St Louis,MS,501 Highway 90,39520
30.3958,-88.9918,434567,Biloxi,MS,2639 Executive Pl,39531
30.4027141,-88.9368576,381671,Biloxi,MS,1671 Pass Rd,39531
32.257072,-89.968793,19752,Brandon,MS,2145 Ms-18,39042
32.3463396,-89.9995848,202555,Brandon,MS,"512 Castlewoods Blvd, Ste J",39047-7632
32.3557508,-90.0130249,770707,Brandon,MS,5490 Castlewoods Court,39232
31.57902,-90.4648025,75300,Brookhaven,MS,975 Brookway Blvd,39601
32.6099855,-90.0024044,95402,Canton,MS,1452 E Peace St,39046
34.1973899,-90.565468,319958,Clarksdale,MS,640 Desoto Ave,38614
33.7538,-90.7158,434586,Cleveland,MS,425-c N Davis Ave,38732
32.3466251,-90.3122148,100070,Clinton,MS,909 Old Vicksburg Rd,39056
31.2460262,-89.8016152,92361,Columbia,MS,925 Highway 98 Byp,39429
31.236891,-89.823564,641408,Columbia,MS,519 Highway 98 Byp,39429
33.496706,-88.415493,22787,Columbus,MS,1510 Main St,39701
34.918049,-88.509546,8861,Corinth,MS,1310 Hwy 72 E,38834
30.374784,-89.382741,614699,Diamondhead,MS,107 Nw Interchange,39525
30.4366843,-88.8929017,391759,Diberville,MS,10493 Diberville Blvd,39540
31.608937,-89.203463,28945,Ellisville,MS,800 Hill St,39437
32.153537,-90.122542,25903,Florence,MS,3104 Hwy 49 S,39073
32.130899,-90.0848,840451,Florence,MS,3104 Highway 49 S,39073
32.16503,-90.129746,656944,Florence,MS,2785 Highway 49 S,39073
32.328783,-90.10465,684844,Flowood,MS,290 E Layfair Dr,39232
32.3559,-90.0126,684139,Flowood,MS,5490 Castlewoods Ct,39232
32.3174248,-89.4775375,41225,Forest,MS,702 Hwy 35 S,39074
30.392302,-88.655851,2840,Gautier,MS,2707 Highway 90,39553
33.3462,-91.0606,434606,Greenville,MS,1513a Highway 1 S,38701
33.516403,-90.203808,53138,Greenwood,MS,919 Highway 82 W,38930
33.7690477,-89.8115299,342119,Grenada,MS,1303 Sunset Dr,38901
33.769047,-89.823124,682151,Grenada,MS,1303d Sunset Dr,38901
30.3585,-89.1119,434615,Gulfport,MS,4302 W Beach Blvd,39501
30.3829,-89.093,434614,Gulfport,MS,2712 25th Ave,39501
30.4529,-89.097,434613,Gulfport,MS,15384 5th St,39503
30.4335505,-89.0311116,371231,Gulfport,MS,11236 Lorraine Rd,39503
30.4501454,-89.1037002,376103,Gulfport,MS,11380 Hwy 49,39503
30.3918056,-89.0524346,368943,Gulfport,MS,104 Pass Rd,39507
31.3247784,-89.3380152,45835,Hattiesburg,MS,3211 Hardy St,39401
31.344724,-89.315776,617900,Hattiesburg,MS,800 Northhill Dr,39401
31.322,-89.378,434624,Hattiesburg,MS,6061 U S Highway 98,39402
34.8246375,-89.9723024,317715,Hernando,MS,2334 Mcingvale Rd,38632
34.96248,-90.09471,629571,Horn Lake,MS,5842 Goodman Rd,38637
32.3047521,-90.1766092,43504,Jackson,MS,616 N Jefferson St,39202
32.271825,-90.260821,62884,Jackson,MS,5545 Robinson Road Ext,39204
32.354669,-90.153856,52726,Jackson,MS,4555 Office Park Dr,39206
32.3688,-90.1798,434643,Jackson,MS,4638 Hanging Moss Rd,39206
32.3057,-90.2277,434641,Jackson,MS,977 Ellis Ave,39209
32.2535,-90.3049,434642,Jackson,MS,102 Pine Cv,39212
33.050187,-89.569494,63882,Kosciusko,MS,1100 Veterans Memorial Blvd,39090
31.6969502,-89.1466802,31877,Laurel,MS,713 N 16th Ave,39440
30.35747,-89.1578076,387000,Long Beach,MS,19099 Pineville Rd,39560
30.9247584,-88.5842299,133070,Lucedale,MS,5157 Main St,39452
32.4709771,-90.1356283,69032,Madison,MS,1860 Main St,39110
31.2474893,-90.4714406,81680,Mccomb,MS,1515 Delaware Ave,39648
32.4205,-88.701,434667,Meridian,MS,1121 Highway 39 N,39301
32.4062824,-88.7014736,71785,Meridian,MS,4622 Poplar Springs Dr,39305
32.3665326,-88.744577,79352,Meridian,MS,1515 65th Ave,39307
30.4484889,-88.5312204,92755,Moss Point,MS,7100 Highway 63,39563
31.565863,-91.352544,677088,Natchez,MS,97 Northgate Rd,39120
31.562626,-91.355068,614744,Natchez,MS,428 Highway 61 N,39120
34.496821,-89.035695,4850,New Albany,MS,216 Starlyn Ave,38652
34.4385,-89.0677,434674,New Albany,MS,1233 County Road 88,38652
30.4161352,-88.804514,400626,Ocean Springs,MS,2260 Bienville Blvd,39564
34.962089,-89.833419,14301,Olive Branch,MS,8859 Goodman Rd,38654
34.36593,-89.5522028,355588,Oxford,MS,1603 Jackson Ave W,38655
30.372009,-88.5365823,99504,Pascagoula,MS,2310 Denny Ave,39567
30.371747,-88.537018,656861,Pascagoula,MS,2530 Denny Ave,39567
30.313873,-89.246609,624398,Pass Christian,MS,105 W Beach Blvd,39571
30.3221733,-89.2615138,306779,Pass Christian,MS,401 W North St,39571
32.2731358,-90.1365696,30762,Pearl,MS,118 S Pearson Rd,39208
31.3460866,-89.2606641,41029,Petal,MS,97 Morris St,39465
32.772087,-89.118281,86327,Philadelphia,MS,100 Canal Pl,39350
30.5177139,-89.669944,305247,Picayune,MS,917 Memorial Blvd,39466
34.266393,-89.017981,434691,Pontotoc,MS,116 Highway 15 N,38863
34.251719,-89.017977,613245,Pontotoc,MS,114 Highway 15 N,38863
30.819576,-89.614037,650558,Poplarville,MS,221 Highway 26 W,39470
31.1185,-89.4092,434695,Purvis,MS,5828 Us Highway 11,39475
32.401899,-90.105547,60406,Ridgeland,MS,102 Pine Knoll Dr,39157
34.6195955,-89.9591222,314682,Senatobia,MS,314 E Main St,38668
34.977663,-90.01606,16536,Southaven,MS,7901 Highway 51 N,38671
33.4487,-88.838503,345741,Starkville,MS,101 Highway 12 W,39759
34.2296752,-88.71967,332334,Tupelo,MS,1221 S Gloster St,38801
30.4564465,-88.843169,396212,Vancleave,MS,8000 Tucker Rd,39565
32.331204,-90.860449,121575,Vicksburg,MS,725 Highway 61 S,39180
32.344224,-90.8298899,126430,Vicksburg,MS,4460 Clay St,39183
34.962405,-90.129607,205,Walls,MS,"5842 Goodman Rd, Ste 13",38680
33.613329,-88.659623,335961,West Point,MS,327 Highway 45 S,39773
34.7829168,-96.6493717,335837,Ada,OK,908 Arlington Ctr,74820
34.6378813,-99.3253944,209615,Altus,OK,813 E Broadway St,73521
34.182329,-97.1435319,602979,Ardmore,OK,615 N Commerce St,73401
34.178,-97.1431,435315,Ardmore,OK,201 N Commerce St,73401
36.745002,-95.930673,42017,Bartlesville,OK,4100 SE Adams Rd,74006
35.9779,-95.8866,435334,Bixby,OK,12800 S Memorial,74008
36.046526,-95.818024,15123,Broken Arrow,OK,2216 W Houston St,74012
36.0307456,-95.7974678,598116,Broken Arrow,OK,S Elm Pl,74012
35.4206,-99.276,435360,Canute,OK,112 N 9th St,73626
35.042962,-97.9369381,300672,Chickasha,OK,806 S 4th St,73018
36.332877,-95.60422,36771,Claremore,OK,2064 N Ok-66,74017
34.529332,-97.967745,169617,Duncan,OK,1205 N Highway 81,73533
34.5293,-97.9677,435391,Duncan,OK,806 N Highway 81,73533
34.0049771,-96.3898226,301201,Durant,OK,1436 W University Blvd,74701
35.6674705,-97.4933469,259241,Edmond,OK,740 W Danforth Rd,73003
35.6212,-97.4787,435408,Edmond,OK,3431 S Boulevard St,73013
36.385411,-97.889794,12206,Enid,OK,1119 S Van Buren St,73703
35.8654427,-97.425362,262739,Guthrie,OK,1314 S Division St,73044
34.6087,-98.405,435481,Lawton,OK,1116 W Gore Blvd,73501
34.623706,-98.440257,52430,Lawton,OK,3809 NW Cache Rd,73505
34.608445,-98.456029,676032,Lawton,OK,5108 W Gore Blvd,73505
34.928869,-95.753317,661750,Mcalester,OK,1202 E Carl Albert Pkwy,74501
34.9287795,-95.7525454,156311,Mcalester,OK,1200 E Carl Albert Pky,74501
35.7450914,-95.3622247,192575,Muskogee,OK,603 E Okmulgee St,74403
35.391666,-97.6971,666249,Mustang,OK,1337 E State Highway 152,73064
35.211702,-97.442811,648214,Norman,OK,770 Debarr Ave,73069
35.218069,-97.422028,338182,Norman,OK,1236 Alameda St,73071
35.2334853,-97.4862671,234185,Norman,OK,1262 N Interstate Dr,73072
35.4971086,-97.5476658,247498,Oklahoma City,OK,2724 N Pennsylvania Ave,73107
35.435637,-97.601802,284397,Oklahoma City,OK,2929 S Meridian Ave,73108
35.450371,-97.391796,602518,Oklahoma City,OK,1428 N Key Blvd,73110
35.4497273,-97.4012867,225317,Oklahoma City,OK,7114 SE 15th St,73110
35.6890788,-97.5326722,250180,Oklahoma City,OK,7302 N Western Ave,73116
35.419415,-97.547784,11405,Oklahoma City,OK,4628 S Pennsylvania Ave,73119
35.5232,-97.619,840381,Oklahoma City,OK,5116 N Macarthur Blvd,73122
35.5232,-97.619,435592,Oklahoma City,OK,5116 N Macarthur Blvd,73122
35.4961793,-97.6190283,115195,Oklahoma City,OK,2617 N Macarthur Blvd,73127
35.420317,-97.484398,213189,Oklahoma City,OK,1514 SE 44th St,73129
35.610499,-97.580027,320892,Oklahoma City,OK,3445 W Memorial Rd,73134
35.420872,-97.426624,17044,Oklahoma City,OK,4843 SE 44th St,73135
35.3745049,-97.5301108,361322,Oklahoma City,OK,9356 S Western Ave,73139
35.3373176,-97.4768431,179970,Oklahoma City,OK,117 S Eastern Ave,73160
35.3516,-97.5122,435593,Oklahoma City,OK,1310 N Santa Fe Ave,73160
35.3373176,-97.4768431,840380,Oklahoma City,OK,117 S Eastern Ave,73160
35.5801318,-97.6518128,267191,Oklahoma City,OK,7734 W Hefner Rd,73162
36.278545,-95.83402,675099,Owasso,OK,12550 E 86th St N,74055
36.277883,-95.833903,224681,Owasso,OK,12500 E 86th St N,74055
36.6990386,-97.0673159,145167,Ponca City,OK,506 S 14th St,74601
36.0505,-96.0932,435710,Sand Springs,OK,2064 Highway 66,74063
36.1137127,-96.1183869,342092,Sand Springs,OK,17 E 34th St,74063
35.9993152,-96.0988232,76752,Sapulpa,OK,1 N Mission St,74066
35.3455908,-96.9120767,291047,Shawnee,OK,1436 N Harrison St,74801
36.1371593,-97.0651743,342513,Stillwater,OK,1524 N Boomer Rd,74075
35.893692,-94.971335,109137,Tahlequah,OK,1219 S Parkhill Rd,74464
36.1523588,-95.990834,357695,Tulsa,OK,16 W 4th St,74103
36.095,-95.9763,435792,Tulsa,OK,1217 East 48th Street,74105
36.0887362,-95.9579844,194352,Tulsa,OK,5141 S Lewis Ave,74105
36.089612,-96.029898,171901,Tulsa,OK,5108 S 33rd West Ave,74107
36.125107,-95.940406,590977,Tulsa,OK,2604 S Harvard Ave,74114
36.160456,-95.898201,280158,Tulsa,OK,7020 E Admiral Pl,74115
36.228859,-95.977539,672528,Tulsa,OK,1117 E 52nd St N,74126
36.1613,-96.0187,627651,Tulsa,OK,2315 W Edison St,74127
36.133457,-95.850643,610902,Tulsa,OK,11332 E 21st St,74129
36.0625532,-95.9042676,253435,Tulsa,OK,6927 S Sheridan Rd,74133
36.156929,-95.994374,650780,Tulsa,OK,E 71st St,74133
36.031569,-95.94802,247724,Tulsa,OK,2828 E 91st St,74137
36.1176975,-95.8511106,345887,Tulsa,OK,3151 S Garnett Rd,74146
35.4934322,-97.7438358,149676,Yukon,OK,120 W Vandament Ave,73099
39.643633,-75.642241,330068,Bear,DE,757 Pulaski Hwy,19701
39.645908,-75.637447,388268,Bear,DE,713 Pulaski Hwy,19701-1236
38.718734,-75.586277,336654,Bridgeville,DE,9577 Bridgeville Center Rd,19933
39.09935,-75.545334,663178,Camden Wyoming,DE,374 Walmart Dr,19934
39.803863,-75.456328,338907,Claymont,DE,3603 Philadelphia Pike,19703-3111
38.4569,-75.5567,423910,Delmar,DE,38637 Benro Drive,19940
39.117169,-75.517414,342443,Dover,DE,22 Lebanon Rd,19901
39.170732,-75.516726,352189,Dover,DE,"261 N Dupont Hwy, Ste 4",19901
39.170669,-75.54196,348707,Dover,DE,789 Walker Rd,19904
38.6903559,-75.3840952,362321,Georgetown,DE,19 S Race St,19947
38.925176,-75.565048,368761,Harrington,DE,1000 Midway Dr,19952
38.5744752,-75.5654042,370054,Laurel,DE,30182 Sussex Hwy,19956
